,id,timestamp,last_attributed_touch_data_tilde_feature,last_attributed_touch_type,last_attributed_touch_timestamp,last_attributed_touch_data_tilde_campaign_id,last_attributed_touch_data_tilde_creative_id,last_attributed_touch_data_tilde_ad_set_id,last_attributed_touch_data_tilde_keyword_id,event_data_transaction_id,event_data_revenue,event_data_currency,custom_data
0,535424924823734717,1528893480453,,,,,,,,,,,{}
1,535485336072402364,1528907879756,,,,,,,,,,,{}
2,535560348028369229,1528925763879,myMonsterSharefeature1,CLICK,1528925702000.0,,,,,,,,{}
3,535244194433077525,1528850387064,,,,,,,,,,,{}
4,535304121033538566,1528864678562,,,,,,,,,,,{}
5,535334311160207949,1528871872605,,,,,,,,,,,{}
6,535576365441964666,1528929586691,,,,,,,,,,,{}
7,535312127725163263,1528866583515,,CLICK,1528866407000.0,,,,,,,,{}
8,535461721469579034,1528902249455,paid advertising,CLICK,1528902228000.0,,,,,,,,{}
9,535249431004596827,1528851635445,,CLICK,1528851546000.0,,,,,,,,{}
10,535364530830829770,1528879077531,,,,,,,,,,,{}
11,535440052143231688,1528897083274,,,,,,,,,,,{}
12,535466653593483819,1528903425370,myMonsterSharefeature1,CLICK,1528903425000.0,,,,,,,,{}
13,535583812772712827,1528931358254,,,,,,,,,,,{}
14,535349457400042701,1528875483744,,,,,,,,,,,{}
15,535394719593849657,1528886274983,,,,,,,,,,,{}
16,535434417792292631,1528895739757,,CLICK,1528895709000.0,,,,,,,,{}
17,535494686354406960,1528910108959,myMonsterSharefeature1,CLICK,1528910108000.0,,,,,,,,{}
18,535259296095724122,1528853987600,,,,,,,,,,,{}
19,535274385297577471,1528857585124,,,,,,,,,,,{}
20,535319233127632105,1528868277758,,,,,,,,,,,{}
21,535434672029765763,1528895800378,myMonsterSharefeature1,CLICK,1528895528000.0,,,,,,,,{}
22,535546168134974808,1528922383249,,,,,,,,,,,{}
23,535379647102338806,1528882681516,,,,,,,,,,,{}
24,535409805184167705,1528889871789,,,,,,,,,,,{}
25,535561390568709209,1528926012568,,,,,,,,,,,{}
26,535244109263541017,1528850366664,,CLICK,1528850325000.0,,,,,,,,{}
27,535455145316863995,1528900685639,,,,,,,,,,,{}
28,535470253665274519,1528904283871,,,,,,,,,,,{}
29,535515169741224131,1528914992553,myMonsterSharefeature1,CLICK,1528914948000.0,,,,,,,,{}
30,535516004546269040,1528915191678,,,,,,,,,,,{}
31,535522808999023244,1528916813880,,,,,,,,,,,{}
32,535530611339903922,1528918674259,,,,,,,,,,,{}
33,535591025952388562,1528933078163,,,,,,,,,,,{}
34,535322814786577583,1528869131521,,,,,,,,,,,{}
35,535530731775164333,1528918702851,myMonsterSharefeature1,CLICK,1528918702000.0,,,,,,,,{}
36,535289021694452527,1528861078599,,,,,,,,,,,{}
37,535500896604496478,1528911589639,,,,,,,,,,,{}
38,535254872027699132,1528852932758,myMonsterSharefeature1,CLICK,1528852915000.0,,,,,,,,{}
